giap chin goh,khosit phetpradab,21,19,1/8/15
giap chin goh,khosit phetpradab,22,20,1/8/15
jeon hyeok jin,giap chin goh,22,20,1/9/15
jeon hyeok jin,giap chin goh,21,13,1/9/15
lee hyun il,suppanyu avihingsanon,21,13,1/11/15
lee hyun il,suppanyu avihingsanon,21,10,1/11/15
suppanyu avihingsanon,hsu jen hao,21,12,1/14/15
suppanyu avihingsanon,hsu jen hao,21,17,1/14/15
daren liew,takuma ueda,21,18,1/14/15
daren liew,takuma ueda,21,15,1/14/15
sony dwi kuncoro,wei feng chong,21,14,1/14/15
wei feng chong,sony dwi kuncoro,21,15,1/14/15
wei feng chong,sony dwi kuncoro,21,16,1/14/15
fabian roth,toby penty,21,18,1/15/15
fabian roth,toby penty,21,18,1/15/15
tanongsak saensomboonsuk,joo ven soong,21,18,1/15/15
tanongsak saensomboonsuk,joo ven soong,21,19,1/15/15
daren liew,zulfadli zulkiffli,23,21,1/15/15
daren liew,zulfadli zulkiffli,22,20,1/15/15
ajay jayaram,daren liew,21,16,1/16/15
daren liew,ajay jayaram,23,21,1/16/15
ajay jayaram,daren liew,21,8,1/16/15
rajiv ouseph,fabian roth,21,16,1/17/15
rajiv ouseph,fabian roth,21,8,1/17/15
suppanyu avihingsanon,abhishek yelegar,21,6,1/21/15
suppanyu avihingsanon,abhishek yelegar,21,10,1/21/15
parupalli kashyap,subhankar dey,21,11,1/21/15
parupalli kashyap,subhankar dey,22,20,1/21/15
parupalli kashyap,misha zilberman,21,16,1/22/15
parupalli kashyap,misha zilberman,20,12,1/22/15
viktor axelsen,parupalli kashyap,21,18,1/24/15
parupalli kashyap,viktor axelsen,22,20,1/24/15
parupalli kashyap,viktor axelsen,21,7,1/24/15
huang yuxiang,lee cheuk yiu,21,19,1/30/15
huang yuxiang,lee cheuk yiu,21,13,1/30/15
huang yuxiang,kazumasa sakai,21,11,1/31/15
kazumasa sakai,huang yuxiang,21,16,1/31/15
kazumasa sakai,huang yuxiang,21,15,1/31/15
qiao bin,kazumasa sakai,21,14,2/1/15
qiao bin,kazumasa sakai,21,12,2/1/15
lucas corvee,fabian roth,21,16,2/13/15
lucas corvee,fabian roth,21,18,2/13/15
vladimir malkov,kieran merrilees,21,17,2/13/15
vladimir malkov,kieran merrilees,21,11,2/13/15
niluka karunaratne,joo ven soong,21,12,2/14/15
niluka karunaratne,joo ven soong,21,19,2/14/15
fabian roth,brice leverdez,21,16,2/24/15
brice leverdez,fabian roth,21,12,2/24/15
fabian roth,brice leverdez,22,20,2/24/15
takuma ueda,kazumasa sakai,21,13,2/25/15
kazumasa sakai,takuma ueda,21,18,2/25/15
kazumasa sakai,takuma ueda,21,19,2/25/15
firman abdul kholik,ng ka long angus,21,12,2/25/15
firman abdul kholik,ng ka long angus,22,20,2/25/15
kazumasa sakai,chou tien chen,21,8,2/26/15
chou tien chen,kazumasa sakai,22,20,2/26/15
kazumasa sakai,chou tien chen,21,16,2/26/15
wong wing ki vincent,firman abdul kholik,21,12,2/26/15
wong wing ki vincent,firman abdul kholik,21,19,2/26/15
wong wing ki vincent,kazumasa sakai,22,20,2/27/15
wong wing ki vincent,kazumasa sakai,24,22,2/27/15
chou tien chen,parupalli kashyap,21,13,3/4/15
chou tien chen,parupalli kashyap,21,12,3/4/15
takuma ueda,chou tien chen,21,14,3/5/15
chou tien chen,takuma ueda,21,9,3/5/15
chou tien chen,takuma ueda,21,17,3/5/15
mark caljouw,kazumasa sakai,21,19,3/7/15
kazumasa sakai,mark caljouw,21,15,3/7/15
kazumasa sakai,mark caljouw,21,17,3/7/15
kazumasa sakai,tian houwei,21,18,3/11/15
kazumasa sakai,tian houwei,21,13,3/11/15
takuma ueda,toby penty,21,14,3/11/15
takuma ueda,toby penty,21,17,3/11/15
ng ka long angus,hsueh hsuan yi,21,12,3/11/15
ng ka long angus,hsueh hsuan yi,21,12,3/11/15
kazumasa sakai,ajay jayaram,21,17,3/13/15
ajay jayaram,kazumasa sakai,23,21,3/13/15
ajay jayaram,kazumasa sakai,21,15,3/13/15
ihsan maulana mustofa,hsueh hsuan yi,21,13,3/19/15
hsueh hsuan yi,ihsan maulana mustofa,21,16,3/19/15
ihsan maulana mustofa,hsueh hsuan yi,21,19,3/19/15
ihsan maulana mustofa,pablo abian,21,12,3/19/15
pablo abian,ihsan maulana mustofa,22,20,3/19/15
ihsan maulana mustofa,pablo abian,22,20,3/19/15
daren liew,niluka karunaratne,21,16,3/19/15
daren liew,niluka karunaratne,21,10,3/19/15
vladimir malkov,kieran merrilees,21,18,3/19/15
kieran merrilees,vladimir malkov,22,20,3/19/15
vladimir malkov,kieran merrilees,21,16,3/19/15
daren liew,ihsan maulana mustofa,21,14,3/20/15
daren liew,ihsan maulana mustofa,21,14,3/20/15
firman abdul kholik,sony dwi kuncoro,22,20,3/20/15
firman abdul kholik,sony dwi kuncoro,21,8,3/20/15
daren liew,emil holst,21,15,3/21/15
daren liew,emil holst,21,11,3/21/15
khosit phetpradab,firman abdul kholik,22,20,3/22/15
firman abdul kholik,khosit phetpradab,21,14,3/22/15
firman abdul kholik,khosit phetpradab,21,18,3/22/15
sameer verma,abhishek yelegar,21,14,3/24/15
sameer verma,abhishek yelegar,21,11,3/24/15
hsu jen hao,parupalli kashyap,21,16,3/25/15
parupalli kashyap,hsu jen hao,21,19,3/25/15
parupalli kashyap,hsu jen hao,21,18,3/25/15
takuma ueda,wong wing ki vincent,21,16,3/25/15
