,Loser1,Loser2,Winner1,Winner2
29,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12873121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/fuxiaofeng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/07151999
30,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one
31,/player/Travis Huynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/58239,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895607,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012084397
32,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12857546,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895498,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/leeladhithya,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5106926214
33,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Justinian2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Madisonli,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123
34,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12896841,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/winnie tran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/CoC,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2017202199
35,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Trumantang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sapphiredoan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000
36,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386
37,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855
38,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901109,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8000000
39,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900984,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675456476465465,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12907068
40,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12873121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/fuxiaofeng,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675456476465465,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12907068
