,Loser,Winner
86,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12880700
87,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/465378,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
88,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668
89,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468
90,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12905401,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910220
91,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002
92,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/Sam Vuong
93,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/47570,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Yes
94,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12849868,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713
95,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12905401,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T
96,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12863264,/player/Caleb Chiang
97,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12845211
98,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825432,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/041903
99,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/roblee04,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/28917382743
100,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2017202199,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250
101,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/MichaelCabebe,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900576
102,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386
103,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12892615,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002
104,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250
105,/player/Patricia Tran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12825427
106,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898265,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12880700
107,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jshih468,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415
108,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020390,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758
109,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
110,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034098,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616
111,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12845211
